0/200 ,loss_train: 14.0554495 , loss_test: 14.009325, run time = 75.375
0/200 ,loss_train: 18.841118 , loss_test: 19.030016, run time = 78.265625 sec.
0/200 ,loss_train: 24.697483 , loss_test: 24.980362, run time = 83.921875 sec.
10/200 ,loss_train: 24.76258 , loss_test: 24.811367, run time = 70.734375 sec.
20/200 ,loss_train: 24.659239 , loss_test: 24.964966, run time = 71.78125 sec.
30/200 ,loss_train: 24.727966 , loss_test: 24.402472, run time = 81.859375 sec.
0/200 ,loss_train: 5.7026634 , loss_test: 5.74574, run time = 76.625 sec.
10/200 ,loss_train: 5.737261 , loss_test: 5.7849116, run time = 70.75 sec.
0/200 ,loss_train: 13.912824 , loss_test: 13.8908825, run time = 74.953125 sec.
0/200 ,loss_train: 14.456132 , loss_test: 14.588814, run time = 57.515625 sec.
10/200 ,loss_train: 14.358338 , loss_test: 14.56193, run time = 51.84375 sec.
20/200 ,loss_train: 14.418596 , loss_test: 14.549234, run time = 47.328125 sec.
30/200 ,loss_train: 14.412104 , loss_test: 13.61307, run time = 58.09375 sec.
