0/200 ,loss_train: 4.1764984 , loss_test: 0.86458695, run time = 276.375 sec.
0/200 ,loss_train: 11.795645 , loss_test: 1.0304277, run time = 315.25 sec.
0/200 ,loss_train: 8.390159 , loss_test: 0.9215843, run time = 334.609375 sec.
10/200 ,loss_train: 0.027964527 , loss_test: 0.028053517, run time = 296.21875 sec.
20/200 ,loss_train: 0.019092089 , loss_test: 0.013267244, run time = 317.75 sec.
30/200 ,loss_train: 0.13833869 , loss_test: 0.012170865, run time = 303.09375 sec.
40/200 ,loss_train: 0.18080643 , loss_test: 0.38985568, run time = 262.71875 sec.
50/200 ,loss_train: 1.2589089 , loss_test: 0.65872365, run time = 252.46875 sec.
60/200 ,loss_train: 1.8458194 , loss_test: 0.45184737, run time = 291.65625 sec.
70/200 ,loss_train: 0.45183742 , loss_test: 1.0505816, run time = 258.40625 sec.
0/200 ,loss_train: 25.878706 , loss_test: 4.0934005, run time = 359.515625 sec.
0/200 ,loss_train: 5.1123466 , loss_test: 0.6182742, run time = 319.328125 sec.
10/200 ,loss_train: 0.44278234 , loss_test: 0.092526786, run time = 309.796875 sec.
20/200 ,loss_train: 0.004979033 , loss_test: 0.004264763, run time = 305.609375 sec.
30/200 ,loss_train: 0.5158828 , loss_test: 0.07290142, run time = 354.90625 sec.
40/200 ,loss_train: 0.39951158 , loss_test: 0.86669445, run time = 271.671875 sec.
50/200 ,loss_train: nan , loss_test: nan, run time = 262.296875 sec.
0/200 ,loss_train: 8.62304 , loss_test: 0.6446616, run time = 698.375 sec.
0/200 ,loss_train: 5.017643 , loss_test: 0.6342424, run time = 730.78125 sec.
10/200 ,loss_train: 0.009717766 , loss_test: 0.008703465, run time = 576.40625 sec.
20/200 ,loss_train: 0.43149143 , loss_test: 0.6195169, run time = 376.4375 sec.
30/200 ,loss_train: 0.19198011 , loss_test: 0.051858548, run time = 305.4375 sec.
40/200 ,loss_train: 1.5463681 , loss_test: 1.1407516, run time = 281.109375 sec.
50/200 ,loss_train: 2.1408124 , loss_test: 1.9529841, run time = 296.453125 sec.
