0/200 ,loss_train: 2.9814353 , loss_test: 1.5526695, run time = 72.453125 sec.
0/200 ,loss_train: 0.40529916 , loss_test: 0.13821211, run time = 69.1875 sec.
10/200 ,loss_train: 0.10531351 , loss_test: 0.059343703, run time = 67.84375 sec.
20/200 ,loss_train: 0.025599504 , loss_test: 0.03776541, run time = 71.03125 sec.
30/200 ,loss_train: 0.030248052 , loss_test: 0.026462154, run time = 68.0 sec.
40/200 ,loss_train: 0.03729858 , loss_test: 0.036186535, run time = 62.609375 sec.
50/200 ,loss_train: 0.03797439 , loss_test: 0.04024952, run time = 63.171875 sec.
60/200 ,loss_train: 0.039695557 , loss_test: 0.042353746, run time = 69.953125 sec.
70/200 ,loss_train: 0.04474824 , loss_test: 0.041870795, run time = 63.625 sec.
80/200 ,loss_train: 0.2864128 , loss_test: 0.19408219, run time = 67.90625 sec.
90/200 ,loss_train: 0.06412588 , loss_test: 0.06452093, run time = 74.234375 sec.
100/200 ,loss_train: 0.062441308 , loss_test: 0.0668755, run time = 64.5 sec.
110/200 ,loss_train: 0.06659584 , loss_test: 0.067002065, run time = 66.34375 sec.
120/200 ,loss_train: 0.07140858 , loss_test: 0.07641143, run time = 71.609375 sec.
130/200 ,loss_train: 0.08014233 , loss_test: 0.08223658, run time = 66.5625 sec.
0/200 ,loss_train: 160.3115 , loss_test: 17.205196, run time = 95.109375 sec.
0/200 ,loss_train: 46.341698 , loss_test: 15.536674, run time = 67.5625 sec.
10/200 ,loss_train: 10.460794 , loss_test: 10.889801, run time = 65.578125 sec.
0/200 ,loss_train: 19.75845 , loss_test: 15.819116, run time = 83.671875 sec.
0/200 ,loss_train: 1.2118186 , loss_test: 0.40024537, run time = 72.3125 sec.
10/200 ,loss_train: 0.14529522 , loss_test: 0.14778468, run time = 67.0625 sec.
20/200 ,loss_train: 0.19743374 , loss_test: 0.19987404, run time = 68.109375 sec.
30/200 ,loss_train: 0.2691596 , loss_test: 0.20213354, run time = 70.890625 sec.
40/200 ,loss_train: 0.33679667 , loss_test: 0.3464813, run time = 69.5625 sec.
50/200 ,loss_train: 0.41775906 , loss_test: 0.4250415, run time = 95.28125 sec.
60/200 ,loss_train: 0.454497 , loss_test: 0.45004234, run time = 86.59375 sec.
70/200 ,loss_train: 0.52403027 , loss_test: 0.532307, run time = 67.796875 sec.
80/200 ,loss_train: 0.5763307 , loss_test: 0.5845848, run time = 65.828125 sec.
90/200 ,loss_train: 0.61662763 , loss_test: 0.62277347, run time = 73.171875 sec.
