0/200 ,loss_train: 0.4298552 , loss_test: 0.04854738, run time = 57.75 sec.
10/200 ,loss_train: 0.0005127557 , loss_test: 0.0006440623, run time = 45.984375 sec.
20/200 ,loss_train: 0.00023117189 , loss_test: 0.00017014965, run time = 46.125 sec.
30/200 ,loss_train: 0.00052343606 , loss_test: 0.00016324488, run time = 53.328125 sec.
40/200 ,loss_train: 0.0001621471 , loss_test: 0.00024999067, run time = 46.125 sec.
50/200 ,loss_train: 0.006975563 , loss_test: 0.014068947, run time = 46.03125 sec.
60/200 ,loss_train: 0.0005855403 , loss_test: 0.002648412, run time = 50.546875 sec.
70/200 ,loss_train: 0.0043258835 , loss_test: 0.0061406973, run time = 44.515625 sec.
80/200 ,loss_train: 0.010034938 , loss_test: 0.0008202212, run time = 49.234375 sec.
0/200 ,loss_train: 3.1277564 , loss_test: 0.8485131, run time = 405.25 sec.
10/200 ,loss_train: 0.0054080808 , loss_test: 0.0053878636, run time = 389.453125 sec.
20/200 ,loss_train: 0.004836264 , loss_test: 0.0054883924, run time = 406.4375 sec.
30/200 ,loss_train: 0.00510953 , loss_test: 0.0027664907, run time = 374.0625 sec.
40/200 ,loss_train: 0.001064693 , loss_test: 0.0009641199, run time = 393.703125 sec.
50/200 ,loss_train: 0.0036986647 , loss_test: 0.005000703, run time = 373.375 sec.
0/200 ,loss_train: 2.707034 , loss_test: 0.474959, run time = 384.953125 sec.
0/200 ,loss_train: 1.1506258 , loss_test: 0.118400104, run time = 57.203125 sec.
0/200 ,loss_train: 0.32316574 , loss_test: 0.03926819, run time = 53.765625 sec.
0/200 ,loss_train: 0.7373183 , loss_test: 0.06545467, run time = 58.125 sec.
0/200 ,loss_train: 0.7597847 , loss_test: 0.09067547, run time = 54.9375 sec.
0/200 ,loss_train: 0.6214045 , loss_test: 0.07877262, run time = 55.8125 sec.
0/200 ,loss_train: 0.7161303 , loss_test: 0.12160741, run time = 57.078125 sec.
